Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Alto Alegre (RR),"31,3",26,"3,6","40,82","19,6","905,13","291,51","87,79","34,22","15,97","12,74","8,35","4,41","37,33","8,73","20,95","85,19","96,44",100,,,,15933
Alto Alegre (RS),"15,4","8,1","5,2",100,"54,1","1729,44","43,71","68,04",0,"92,31",,"7,21","2,55","24,84","8,53","17,85","29,1","9,2",100,,,100,1803
Alto Alegre (SP),"8,5","16,7","5,2",100,"88,2","1214,18","69,92","106,98",0,"87,76","8,16","10,11","1,56","22,63","11,8","34,86","50,75","4,68",100,"99,3",100,100,4154
Alto Araguaia (MT),"7,2","34,5","4,8","81,12",52,"1391,46","45,53","239,92","9,09","75,91","8,64","5,18","1,05","29,95","13,58","17,69","56,8","51,23","93,35","5,8",0,100,18164
Alto Bela Vista (SC),"5,7","15,6","6,4",100,"68,7","1382,12","7,53","42,5",,50,,"6,1",0,"11,36","7,75","13,48","28,09","36,76","99,33",,,,1967
Alto Boa Vista (MT),"4,5","26,9",,100,"49,4","1532,26","83,91","142,89",0,"59,72","2,78","2,32","1,02","27,85","9,59","10,92","61,4","64,87",,,,,6466
Alto Caparaó (MG),"26,9","16,7","4,9",100,"69,6","945,3","102,55","66,88",0,"81,82","7,79","3,8","0,53","23,37","5,88","31,59","68,37","40,51",,,,100,5791
Alto do Rodrigues (RN),"19,8","52,4","4,3","97,42","49,6","2142,56","131,28","78,24","11,17","64,25","11,17","5,01","0,91",13,"19,81","48,39","76,43","54,26","91,61","1,9",100,100,14365
Alto Feliz (RS),"15,5","15,9","4,7",100,54,"1330,5","2,76","9,5",0,"84,62","15,38","6,58",0,"15,86","7,27","6,9","27,59","76,27",,,,100,3040
Alto Garças (MT),"7,8","38,7","4,7","85,78","48,3","1727,14","99,21","234,27",0,"70,16","8,06","6,33",0,"11,07","13,11","9,9","59,43","44,19",100,,,"98,71",11532
Alto Horizonte (GO),11,"24,1","5,3",100,"67,1","1386,38","85,37","54,69",0,"76,42","4,88","6,74","0,77","5,51","7,76","2,79","60,4","33,07",100,,,100,5784
Alto Jequitibá (MG),"8,3","21,5","4,5","92,03","66,7","1027,66","133,29","118,83",0,"81,19","9,9","8,8","0,98","25,22","6,4","26,59","67,52","29,45","89,08",100,0,100,8522
Alto Longá (PI),"20,8",37,"3,6","68,53","50,1","890,93","224,3","45,09","13,7","47,95","4,79","4,98","6,34","24,41","12,64","29,01","87,68","87,73","63,5",,,,14070
Altônia (PR),"6,5","16,9","5,1",100,"68,6","1041,5","17,64","152,76","12,24","95,92","6,94","8,32","0,89","11,48","9,41","6,09","30,12","24,05",100,"46,28",100,"93,96",21988
Alto Paraguai (MT),"5,2","21,4","3,9",50,"56,8","1246,23","66,5","277,97","10,64","77,66","5,32","5,86","0,33","18,43","11,39","17,38","58,02","69,43",,,,,10921
Alto Paraíso de Goiás (GO),"31,5","42,6","4,5","99,01","40,9","1037,52","84,09","168,79","6,9","72,41","6,9","5,32","3,05","13,29","8,71","9,86","48,65","84,37",100,,,"99,19",7514
Alto Paraíso (PR),"20,7","33,3","4,2",100,"52,5","1351,3","73,67","150,92",0,"68,89","8,89","7,67","1,78","13,13","15,19","17,97","42,75","27,55",100,"40,19",100,100,2998
Alto Paraíso (RO),"20,2","32,8","4,3","64,21","36,4","1069,26","64,74","110,23","20,66","87,6","5,79","3,39","5,39","32,87","10,55","13,6","58,07","33,03","13,9",,,,20916
Alto Paraná (PR),"16,5","32,6","4,3",100,"71,5","1049,7","78,23","128,5",0,"90,45","4,49","6,06","5,25","35,92","6,42","10,03","53,28","9,23",100,"70,2",100,100,14693
Alto Parnaíba (MA),27,"36,5","3,8","16,56","28,7","1002,46","144,94","196,36","22,86","59,43","6,86","5,36","6,04","30,81","9,61","39,33","73,95","91,41","99,99",,,,11001
Alto Piquiri (PR),"13,1","21,2","4,3",100,"67,6","1319,9","61,76","228,5","7,52","87,97","6,77","10,47","0,43","14,38","14,25","14,72","50,39","6,21",100,"68,51",100,100,10222
Alto Rio Doce (MG),"14,8","30,7","4,3","93,62","58,8","953,43","172,95","175,32","45,05","54,05","12,61","10,01","1,33","31,99","7,14","52,36","67,33","27,06","89,73","83,1",0,100,11693
Alto Rio Novo (ES),"18,2","17,8","5,3","89,23",67,"929,64","115,35","118,74",0,"61,96","9,78","7,6","0,28","11,18","9,98","27,13","65,09","15,85","74,99",,,"99,46",8022
Alto Santo (CE),"14,5",25,"4,6","79,93","30,1","781,39","153,68","117,87","27,78","77,78","11,11","6,66","5,68","21,38","15,21","20,03","61,66","40,88","80,2",,,"96,37",16976
Altos (PI),"23,3","42,7",4,"50,94","50,4","1052,91","139,68","196,93",14,"55,52","7,31","6,7","9,01","33,47","13,37","32,66","77,66","90,7","78,68","7,79",100,,39864
Alto Taquari (MT),12,34,5,100,72,"1619,66","60,74","76,05","6,13","84,66","3,68","3,12","0,36","10,23","8,79","14,62","56,13","24,37",100,,,,10246
Alumínio (SP),"14,8","16,1","5,1",100,"68,9","2439,38","42,63","59,65","20,33","76,83","8,54","5,51",0,"8,89","12,55","27,69","59,83","31,65","83,16",70,"46,77",100,18324
Alvarães (AM),"40,6","54,9","3,6","34,78","28,8","905,13","371,71","68,01","22,44","33,67","5,24","2,64","1,46","29,72","8,34","50,98","93,21","96,24","26,07",,,,15908
Alvarenga (MG),11,"22,6","4,6","99,68","64,1","806,79","174,47","90,37",0,"92,16",,"9,76","0,97","14,89","13,01","33,19","71,65","12,48",100,100,0,100,4199
Álvares Florence (SP),"2,6","4,9","5,3","63,24","61,3","1149,94","64,61","210,6",0,80,"13,33","10,54","0,86","17,44","19,76","39,2","32,02","9,99",100,"99,92",100,100,3795
Álvares Machado (SP),"11,5","16,2","4,5",100,"83,5","1401,71","84,92","102,8","18,13","76,74","12,99","7,78","0,19","23,36","7,05","28,63","56,04","2,35",100,100,100,,24813
Álvaro de Carvalho (SP),"6,5",10,"4,4",100,"77,4","1268,34","96,68","46,26",0,"72,5",10,"4,49",0,"15,35",6,"43,68","53,69","13,53","99,6","98,37",100,100,5119
Alvinlândia (SP),"4,1","9,4","4,6",100,"85,5","1164,84","58,59","153,16",0,"83,33","11,9","5,32","0,42","18,02","9,96","8,37","49,09","21,8",100,"99,62",100,"97,59",3196
Alvinópolis (MG),"6,3","19,3","3,9",100,"62,6","1017,01","103,43","121,95","32,05","79,49","12,82","8,59","2,37","31,39","6,32","16,64","65,89","28,77","72,03",,,100,15599
Alvorada de Minas (MG),"7,7","36,7","3,9",100,"51,2","969,12","204,21","202,82","50,85","81,36","22,03","9,26","0,98","17,58","12,42","47,77","74,35","46,71","67,91","99,87",100,"77,5",3673
Alvorada D'Oeste (RO),18,24,"4,8",100,"58,5","917,63","101,52","155,7","16,85","64,04","9,55","4,84","3,37","36,06","10,18","10,8","65,85","43,55","99,91","77,57",100,100,16747
Alvorada do Gurguéia (PI),"30,6","43,2","4,2","98,05","35,1","881,93","358,51","49,23","21,98","76,92","7,69","5,26","4,91","30,56","10,62","69,64","77,89","92,23","98,72",,,100,5326
Alvorada do Norte (GO),"14,9","26,3","5,1","99,58","53,6","1093,07","133,54","488,8","22,06","80,15","5,15","7,17","1,58","37,13","17,03","17,97",62,"46,07",100,"2,23",100,100,8645
Alvorada do Sul (PR),"15,1","27,5",4,100,"73,2","1256,68","54,16","106,18","9,01","89,19","7,21","8,72","0,93","18,26","8,21","11,98","51,4","5,45","99,33",,,100,11237
Alvorada (RS),"28,8","43,1","3,6","97,59","48,4","1389,52","41,77","127,6","10,11","70,86","8,67","7,41","0,76","25,27","4,4","20,01","62,1","41,96",100,"23,16","97,27",100,208177
Alvorada (TO),"15,9","31,3","5,1",100,"62,4","1041,41","112,47","283,6","18,02","72,07","6,31","7,4","5,66","41,34","14,85","31,89","59,99","37,43",100,,,,8516
Amajari (RR),27,37,"3,9","22,67","11,4","695,63",209,"22,11","28,17","17,46","11,83","5,8","3,62","28,16","6,07","66,64","80,74","97,85",100,,,"96,36",11560
Amambai (MS),"33,8","43,2",5,"94,32","70,4","1163,49","141,08","256,02","13,93","54,64","8,98","5,93","7,34","34,09","11,18","30,69","69,3","8,37","99,25","30,31",100,100,38465
Amapá (AP),"26,9","49,6","2,8","79,74","49,2","1002,93","291,75","161,58",0,"31,91","8,51","2,74","3,53","43,88","7,02","57,06","97,07","77,79","27,97","6,08",0,,8757
Amapá do Maranhão (MA),"31,6","61,3","3,6","68,55","29,6","812,58","304,65","43,52",0,"55,33","6,67","3,05","0,72","21,03","12,53","36,71","82,05","30,7","47,5","47,5",0,"92,49",6895
Amaporã (PR),"16,7","38,4","4,4",100,"69,4","1257,59","91,82","88,8",0,"86,59","9,76","6,57","0,45","22,17","7,17","14,43","65,51","5,71",100,,,"98,93",6084
Amaraji (PE),29,"28,6","2,9","81,32","23,5","924,16","182,89","178,38","19,74","61,18","7,24","6,51","0,87","25,05","16,72","33,64","83,67","23,93",,,,,22726
Amaral Ferrador (RS),20,"42,7","4,1",100,"48,6","1048,1","80,76","57,47",0,"60,42","8,33","6,42",0,"15,79","9,71","28,17","64,54","68,02","83,21",,,100,6854
Amaralina (GO),"20,6","28,6",5,"80,65","55,5","1128,88","178,9","38,45",0,50,"7,69",4,0,"8,86","5,71","26,93","65,42","32,78","99,83",,,"99,17",3754
Amarante do Maranhão (MA),"36,1","51,6","3,4","33,88","10,1","954,68","200,06","100,94","21,92","47,99","4,14","4,72","7,58","29,92","16,23","52,1","83,08","73,2","30,7",,,100,41106
Amarante (PI),"29,7","41,3","3,1","48,01","31,1","991,69","325,42","265,87","40,15","39,05","9,12","6,41","9,79","39,34","15,39","72,61","85,47","95,41","96,99",,,,17322
Amargosa (BA),"32,5","44,5","3,2","86,63","51,5","861,83","186,01","293,95","8,66","67,1","7,58","7,84","2,28","23,94","13,62","40,65","70,72","25,85",100,"3,56",100,,38259
Amaturá (AM),"28,7","61,9","3,6","33,59","46,8","943,76","237,26","48,3","18,73","56,93","5,24","3,74","7,82","43,48","14,25","52,95","82,53","93,88",100,,,,11242
Amélia Rodrigues (BA),"33,2","51,1","3,8","77,44","51,7","1177,19","140,13","198,57","31,53","67,57","16,22","6,1","2,37","27,34","6,45","36,39","76,11","21,8","87,85",,,"95,59",26409
América Dourada (BA),"13,4","29,9","3,9","34,59","44,5","1187,41","250,52","91,06","12,88","69,1","7,73","5,06","8,72","39,09","7,21","59,33","85,65","16,24",100,,,,16798
Americana (SP),"4,3","8,1","5,3","90,77","78,1","1735,67","17,72","75,11","7,47","80,73","7,39","6,23","0,26","15,13","7,78","27,53","49,71","8,42",100,100,"80,33",100,233868
Americano do Brasil (GO),"11,4","16,7","5,8",100,"39,8","849,33","50,48","117,82","35,71","80,95","14,29","7,64","3,98","21,57","7,64","11,35","53,74","17,25",100,,,100,6018
Américo Brasiliense (SP),"6,4","14,6","4,8","84,53","69,2","1597,92","14,77","72,67",16,"85,6","8,8",5,"0,76","15,72","10,72","15,1","45,76","11,98",100,100,0,100,39189
Américo de Campos (SP),6,"12,8","5,4","67,86","79,1","1184,11","80,49","217,52",0,"80,85","6,38","7,54","1,2","18,2","5,26","17,91","44,76","11,72","99,8","99,8",100,100,5967
Ametista do Sul (RS),"17,5","22,7","4,4",100,"70,9","1078,38","62,53","134,19","25,97","88,31","10,39","6,2","3,13","30,67","10,29","6,98","58,76","31,49",100,,,100,7576
Amontada (CE),"13,8",26,5,"79,74","24,1","1133,78","203,3","130,97","11,08","55,82","5,82","4,99","0,95","14,47","10,73","61,04","85,32","52,43",,,,,42901
Amorinópolis (GO),"10,2","20,4","5,3",100,"32,1","1057,73","106,18","174,16",0,"76,32","7,89","7,34","6,27","37,7","7,24","20,29","62,28","22,63","99,95",,,,3408
Amparo de São Francisco (SE),28,"37,5",4,100,"43,3","1165,95","184,8","130,84","25,64","43,59","10,26","10,46","1,12","18,18","11,8","43,27","70,18","0,64","79,57",,,100,2390
Amparo do Serra (MG),"21,2","32,9","3,8","71,34",66,"941,56","144,42","145,09",0,"73,85","7,69","8,33","0,6","15,86","8,41","41,83","69,42","16,66","97,55",,,,4924
Amparo (PB),"21,3","35,6","4,3",100,"50,3","748,61","385,65","24,37",0,"67,65","5,88","6,68","7,87","27,54","9,05","24,23","70,52","67,5",100,,,,2246
Amparo (SP),"9,6","11,7","5,4","91,96","71,9","1513,1","20,26","92,21","5,65","86,44","6,89","8,02","0,81","15,51","9,35","16,86","49,92","17,92",100,95,"54,52",100,71193
Ampére (PR),"9,7","23,4","5,2",100,"67,3","1120,56","25,78","111,76","7,52","85,34","9,4","5,72","4,91","26,32","8,44","4,22","30,52","19,53",100,"86,02",100,"89,87",18886
Anadia (AL),36,"42,3","2,6","54,78","32,4","935,22","192,2","123,71","24,39","62,44","9,76","6,51","1,05","12,17","23,11","44,96","84,05","3,11","85,67",,,,17818
Anagé (BA),"43,6","54,6","3,2","63,24","16,8","1098,28","289,8","286,11","14,08","43,19","11,74","6,03","1,56","24,52","12,81","63,23","83,98","46,21",100,,,100,19568
Anahy (PR),"6,3","21,8","4,7",100,"84,4","1075,42","22,08","99,3",,"89,66","3,45","4,48","0,56","22,02","13,29","4,08","28,55","10,98",100,,,100,2901
Anajás (PA),"48,1","69,4",3,"30,11","21,9","1178,05","415,2",78,"14,04","46,67","4,21","2,25","4,59","29,2","19,8","69,2","94,9","97,44","16,69",,,,28466
Anajatuba (MA),"28,2",46,"3,9","35,3","19,8","1259,78","419,09","109,67","21,28","59,88","8,81","3,73","9,64","31,33","12,99","91,46","95,43","64,58",,,,,27352
Analândia (SP),"14,1","18,6","4,9",100,"54,7","1348,34","73,05","107,01","21,28","63,83","12,77","5,37",0,"11,21","9,68","49,94","68,66","30,99",100,100,100,100,4845
Anamã (AM),"24,2","40,5","4,9","64,1","39,8","856,31","292,57","77,41","10,2","61,73","8,16","2,23","9,61","48,54","9,38","74,42","86,07","89,59",,,,100,12978
Ananás (TO),14,"23,7","4,7","92,79","54,8","856,35","232,85","280,5","6,1","67,07","6,1","5,23","3,2","25,21","13,78","37,17","72,18","49,59","99,75","60,57","33,33",100,9749
Ananindeua (PA),"23,3",41,"3,9","87,42","71,6","1171,03","85,39","200,64","13,98","49,4","8,4","5,32",6,"22,42","4,17","18,47","60,27","54,12","32,5","0,98","33,8",,516057
Anápolis (GO),"14,9","21,6","5,4","99,44","64,2","1584,47","27,58","173,04","12,42","60,17","8,29","6,9","0,67","12,15","5,9","2,09","42,22","30,26",100,"64,55",100,"99,84",375142
Anapu (PA),"37,8","48,5","3,3","62,47","27,7","1128,6","305,63","94,37","22,22","40,48","6,98","4,24","11,18","30,3","15,09","20,14","90,52","81,22",,,,,27096
Anapurus (MA),"29,2","42,6","3,4","29,02","16,5","1129,51","477,81","46,36","12,86","35,05","5,47","3,7","12,21","47,56","16,7","95,59","96,59","76,19","87,86",,,"99,17",15696
Anastácio (MS),"31,6","44,3","4,3","64,59","57,8","1080,58","85,39","208,52","21,86","58,2","6,83","6,57","2,29","28,63","10,16","18,52","57,27","38,13","99,03","17,24",100,,24954
Anaurilândia (MS),"35,9","42,9","4,1",100,"71,6","1069,46","61,92","107,32",0,"60,98","9,76","4,59","4,09","38,4","7,61","18,04","52,53","13,59","99,08",,,100,8927
Anchieta (ES),"27,2","32,6","4,6","87,27","66,1","1608,41","61,84","123,4",0,"75,57","5,4","4,52","1,92","32,46","7,97","23,2","60,35","25,25","82,1","30,94",100,100,28546
Anchieta (SC),"10,6","16,9","5,4",100,"70,6","1142,35","31,62","56,05","15,15","80,3","10,61","4,63","1,67","15,44","4,25","11,6","46,98","30,65",100,,,100,5832
Andaraí (BA),"25,1",53,4,100,"47,5","882,76","357,97","220,68",0,"63,64","5,68","4,44","10,74","39,67","13,98","66,49","77,76","57,86",100,,,100,13737
Andirá (PR),"10,9","25,9","4,5",100,"69,2","1237,6","58,47","107,12","8,13","84,96","9,76","8,28","1,7","26,71","8,81","17,78","41,01","3,05",100,"52,82","80,64",100,20769
Andorinha (BA),"39,3",48,"2,6","86,29","46,1","1738,66","201,15","134,03","10,42","71,88","8,85","5,55","2,53","14,78","15,23","37,09","72,44","55,55",100,,,,15490
Andradas (MG),"6,8","17,1","5,1",100,"62,3","1139,12","16,87","142,84","11,83","91,91","8,09","8,16",1,"21,42","11,28","3,56","37,26","13,99","95,91","95,59","1,98",100,40706
Andradina (SP),"5,2","7,8","5,1","98,54","69,8","1288,34","35,83","168,34","13,35","82,79","7,86","8,82","1,66","26,12","5,61","17,27","50,4","3,81",100,100,100,100,57350
André da Rocha (RS),"20,9",31,,100,"65,8","1298,19","56,51","55,26",0,"66,67","33,33","7,66",0,"16,67","5,15",50,"57,14","47,11",100,,,"99,81",1306
Andrelândia (MG),"11,2","24,7",5,100,"72,1","937,78","96,34","208,28","9,01","90,09","10,81","7,68","0,66","25,67","5,35","16,35","66,5","12,38","91,84","90,18",0,"97,23",12507
Angatuba (SP),"10,9","13,1","5,6","95,32","68,9","1330,12","43,75","195,74","6,31","87,38","8,52","6,66","1,08","25,36","6,15","17,13","52,03","20,4",100,"89,21",100,100,24634
Angelândia (MG),"12,5","34,2","4,2","95,98","52,2","896,04","253,95","180,54","19,42","88,35","7,77","5,15","0,2","25,26","15,02","36,52","74,37","45,72","99,88","88,16",0,,8541
Angélica (MS),"23,7","36,2","4,5","69,17","79,4","1933,45","93,39","97,12","5,81","68,6","5,81","8,41","5,92","38,07","7,51","10,4","56,97","7,61","99,3","13,99",100,"91,36",10458
Angelim (PE),"30,7","41,9","4,1","92,6","39,8","1418,9","365,03","145,56","23,26","77,52","9,3","7,15","1,66","19,8","13,29","66,62","83,03","4,05",100,,,,11045
Angelina (SC),"17,3","18,2","5,1","97,52","73,8","1178,02","20,98","50,76","18,52","55,56","9,26","8,5","0,44","24,02","12,56","14,48","37,02","69,88","96,78",,,100,4943
Angical (BA),"22,5","41,3","3,5","58,38","17,9","1083,85","390,79","138,25","11,63","80,81","5,81","6,4","1,19","20,13","11,71","61,2","83,3","65,21",100,,,,14690
Angical do Piauí (PI),"28,5","25,6","4,6","98,31","37,6","978,92","319,97","185,34","11,76","32,94","8,24","7,33","1,57","18,28","13,43","80,21","82,75","98,71","94,6",,,,6684
Angicos (RN),"27,7","56,2","3,3","98,99",59,"1105,16","224,82","235,36","17,09","78,63","9,4","5,88","4,53",17,"15,09","66,2","74,12","58,41",100,,,,11909
Angico (TO),"18,7","32,4","4,3","87,74",31,"1068,89","125,07","132,29",0,"62,79","6,98","2,92",0,"17,65","12,13","18,96","54,26","79,04",100,,,100,3423
Angra dos Reis (RJ),27,"42,7","3,6","81,87","57,5","1998,28","66,17","105,42","6,83","72,22","9,22","5,37","0,37","17,7","8,86","28,39","60,78","86,13","94,1","45,7","17,12",100,194619
Anguera (BA),"33,1","37,5","3,3",100,"55,3","436,42","194,94","81,87",0,"82,93","7,32","7,4","0,56","20,51","8,24","60,82","79,73","2,95",100,,,,11481
Ângulo (PR),"20,2","25,8","4,3",100,"80,6","1172,31","69,65","65,31","48,78","80,49","4,88","5,04","1,32","16,51","10,68","16,53","44,47","3,95","99,83",,,,2974
Anhanguera (GO),"6,1","22,7",,100,"66,7","1171,11","48,38","82,53",0,"71,43",,"7,99","2,04","31,25","9,75","18,09","31,78","22,03",100,,,,1126
Anhembi (SP),"7,2","13,5",4,100,"65,2","1160,42","71,55","83,01",0,"92,11","9,21","4,63",0,"16,11","7,15","19,48","57,66","22,01",100,"97,49",100,,6484
Anhumas (SP),"7,6","10,5","5,3",100,"74,3","1183,83","74,94","111,58",0,"82,46","12,28","5,67","1,49","17,57","6,59","11,52","45,97","7,14",100,100,100,100,4053
Anicuns (GO),"6,7","14,8","5,9","99,57","44,7","1075,66","91,88","245,53","10,2","62,76","7,14","6,07","0,85","17,9","7,54","10,27","63,83","17,83",100,"43,25",100,"99,46",21746
Anísio de Abreu (PI),32,"24,5","3,4","65,96","44,3","1032,68","202,39","93,57","24,19","70,16","8,87","4,02","1,69","21,21","17,79","4,84","79,87","71,32","93,46",,,100,9705
Anita Garibaldi (SC),"9,7","28,9","4,7","99,34",83,"1162,43","110,33","144,14","24,1","63,86","10,84","9,15","4,74","41,7","11,17","48,24","81,67","48,4",100,,,100,7537
Anitápolis (SC),28,"31,5",,100,"72,2","1062,22","42,31","37,22",,"90,63",,4,"3,49","44,41","3,92","9,9","65,22","74,14",100,,,100,3248
Anori (AM),"25,5","37,3","4,4","36,56","37,1","1072,56","216,14","50,05","19,46","49,81","6,23","2,53",6,"32,74","11,2","33,95","91,3","86,53",,,,,20196
Anta Gorda (RS),"10,8","12,2","5,2",100,"37,7","1284,15","5,26","56,55","17,86","94,64","8,93","8,86","6,16","31,75","5,25","0,61","7,55","53,34","99,41",,,100,6210
Antas (BA),"35,6","53,4","3,5","48,1","20,6","1130,5","144,18","90,45","14,29","66,43","6,43","4,09","21,25","56,44","12,51","39,35","85,8","21,17",100,,,,19569
Antonina do Norte (CE),"12,4","32,7","4,5","89,48","26,4","869,58","372,97","171,21","31,25","80,21","12,5","9,07","2,81","15,85","16,08","79,15","82,63","79,17","83,2",,,,7278
Antonina (PR),"23,4","35,5","4,2","94,55","62,1","1142,27","60,92","165,77","14,34","74,55","10,75","6,95","0,66","31,71","6,87","7,65","57,68","90,5",,,,"84,78",19420
Antônio Almeida (PI),"21,6","41,3","4,8",100,"57,7","1150,81","291,99","17,19","48,78","75,61","19,51","8,03",6,"19,55","7,29","67,02","85,85","91,2","98,07","99,82",0,"99,82",3114
Antônio Cardoso (BA),"38,4","59,5","3,2","31,78","30,7","1181,1","283,74","50,94","14,6","84,67","10,22",5,"0,88","14,5","11,42","61,04","89,36","3,46",100,,,,12208
Antônio Carlos (MG),"8,5","32,3","4,5",100,"52,1","974,13","68,12","157,28","23,08","65,38","11,54","7,84","0,43","17,15",11,"29,02","68,35","27,05","95,8","99,09",0,"97,87",11608
Antônio Carlos (SC),"9,3","14,4","5,8",100,"83,6","1486,68","11,9","37,7",16,"90,4","8,8","5,76","0,34","11,61","10,54","9,81","45,58",73,100,,,"76,51",8327
